factor,sample_index,factor_value,combo,rms_vibration_mm,rms_pointing_error_deg,peak_torque_nm,rms_torque_nm,pointing_band_rms_deg,vibration_band_rms_mm,pointing_psd_at_f0_db,vibration_psd_at_f0_db
sensor_noise_frequency_hz,46,7.25408,fourth_standard_pd,0.082383,0.00134527,21.7863,8.88029,0.00031746,0.0236202,-59.9417,-82.2628
sensor_noise_frequency_hz,47,1.92323,s_curve_standard_pd,0.704533,0.0106943,23.6059,8.46139,0.00766903,0.663017,-31.7786,-53.0649
sensor_noise_frequency_hz,47,1.92323,fourth_standard_pd,0.667865,0.0102225,21.5934,8.81977,0.00767936,0.662763,-31.7479,-53.0682
sensor_noise_frequency_hz,48,0.194316,s_curve_standard_pd,2.0071,0.101689,21.3674,8.09382,0.719098,1.97763,1.40685,-42.7105
sensor_noise_frequency_hz,48,0.194316,fourth_standard_pd,2.00092,0.101753,19.9623,8.4778,0.794069,2.05081,1.36762,-42.684
sensor_noise_frequency_hz,49,2.93481,s_curve_standard_pd,0.293684,0.00451627,23.7379,8.51136,0.00223069,0.175148,-41.7139,-63.8411
sensor_noise_frequency_hz,49,2.93481,fourth_standard_pd,0.192504,0.00308789,21.7081,8.86837,0.00223341,0.175156,-41.6262,-63.8409
sensor_noise_frequency_hz,50,1.14683,s_curve_standard_pd,0.587153,0.00876558,23.7077,8.49781,0.00379141,0.52686,-39.5757,-55.387
sensor_noise_frequency_hz,50,1.14683,fourth_standard_pd,0.544114,0.00811761,21.6682,8.85453,0.00386187,0.527035,-39.3834,-55.3845
sensor_noise_frequency_hz,51,0.223465,s_curve_standard_pd,2.41864,0.0874876,22.3159,8.19783,0.274928,2.38719,-4.39452,-41.8625
sensor_noise_frequency_hz,51,0.223465,fourth_standard_pd,2.40368,0.0874684,20.5311,8.64603,0.276069,2.63889,-4.15988,-41.0347
sensor_noise_frequency_hz,52,0.208285,s_curve_standard_pd,2.20004,0.0928717,22.1824,8.14404,0.268716,2.11312,0.407169,-42.2411
sensor_noise_frequency_hz,52,0.208285,fourth_standard_pd,2.18925,0.0927582,20.1493,8.52558,0.27007,2.13413,0.396433,-42.1579
sensor_noise_frequency_hz,53,28.4359,s_curve_standard_pd,0.235863,0.00359798,23.736,8.52489,1.95498e-05,0.00124196,-85.533,-107.526
sensor_noise_frequency_hz,53,28.4359,fourth_standard_pd,0.0789154,0.00128975,21.7854,8.88185,1.90038e-05,0.00124195,-85.4797,-107.526
sensor_noise_frequency_hz,54,1.49635,s_curve_standard_pd,3.2949,0.0480925,20.5182,7.83237,0.03204,3.26672,-19.3329,-39.0502
sensor_noise_frequency_hz,54,1.49635,fourth_standard_pd,3.28817,0.0480252,18.8422,8.21828,0.0318217,3.26679,-19.3825,-39.0495
sensor_noise_frequency_hz,55,0.111061,s_curve_standard_pd,0.967662,0.163384,19.316,7.87614,3.6552,1.46689,24.2046,-44.8706
sensor_noise_frequency_hz,55,0.111061,fourth_standard_pd,0.933199,0.16343,18.3015,8.33873,3.63937,1.84642,24.1237,-43.3429
sensor_noise_frequency_hz,56,28.6535,s_curve_standard_pd,0.235864,0.00359797,23.7325,8.52489,1.91892e-05,0.00121796,-85.1267,-107.109
sensor_noise_frequency_hz,56,28.6535,fourth_standard_pd,0.0789133,0.00128971,21.7463,8.88186,1.86018e-05,0.00121796,-85.0688,-107.109
sensor_noise_frequency_hz,57,0.514917,s_curve_standard_pd,3.50157,0.056121,22.9323,8.28787,0.048685,3.3989,-14.7646,-38.9694
sensor_noise_frequency_hz,57,0.514917,fourth_standard_pd,3.48163,0.0559147,20.9897,8.65026,0.0481352,3.39612,-14.8354,-39.0116
sensor_noise_frequency_hz,58,9.28267,s_curve_standard_pd,0.236304,0.00360467,23.7547,8.5241,0.000220086,0.0141683,-63.4493,-85.6879
sensor_noise_frequency_hz,58,9.28267,fourth_standard_pd,0.0801721,0.00130896,21.7809,8.88096,0.000214733,0.0141683,-63.384,-85.6879
sensor_noise_frequency_hz,59,0.850321,s_curve_standard_pd,0.283388,0.0085888,23.6904,8.47888,0.00684206,0.149924,-31.6371,-65.9116
sensor_noise_frequency_hz,59,0.850321,fourth_standard_pd,0.172482,0.00805175,21.6426,8.83484,0.00697568,0.149729,-31.5199,-65.929
sensor_noise_frequency_hz,60,37.4442,s_curve_standard_pd,0.235855,0.00359786,23.764,8.525,8.55379e-06,0.00054199,-92.1219,-114.083
sensor_noise_frequency_hz,60,37.4442,fourth_standard_pd,0.0788951,0.00128949,21.7644,8.88198,8.30176e-06,0.000541991,-91.993,-114.083
sensor_noise_frequency_hz,61,2.95744,s_curve_standard_pd,0.29207,0.00449029,23.7474,8.51185,0.0021807,0.171816,-42.9119,-65.0026
sensor_noise_frequency_hz,61,2.95744,fourth_standard_pd,0.189207,0.00303642,21.7204,8.86875,0.0021901,0.171799,-42.8187,-65.0033
sensor_noise_frequency_hz,62,0.232545,s_curve_standard_pd,2.52704,0.0830963,22.465,8.19461,0.279891,2.38021,-4.92037,-41.0432
sensor_noise_frequency_hz,62,0.232545,fourth_standard_pd,2.53044,0.083078,20.4291,8.60476,0.280813,2.50536,-4.68737,-40.5517
sensor_noise_frequency_hz,63,0.213126,s_curve_standard_pd,2.29447,0.0913801,22.3657,8.17423,0.267908,2.25836,0.333656,-42.1268
sensor_noise_frequency_hz,63,0.213126,fourth_standard_pd,2.27425,0.0917568,20.3108,8.57988,0.269465,2.36221,0.323994,-41.6652
sensor_noise_frequency_hz,64,0.856956,s_curve_standard_pd,0.274448,0.00831542,23.6968,8.48075,0.00655048,0.133266,-34.0196,-67.1288
sensor_noise_frequency_hz,64,0.856956,fourth_standard_pd,0.159141,0.00783408,21.6559,8.83604,0.00661281,0.13301,-34.0014,-67.1408
sensor_noise_frequency_hz,65,1.92009,s_curve_standard_pd,0.709755,0.010778,23.6025,8.46134,0.00772315,0.667823,-31.4613,-52.7415
sensor_noise_frequency_hz,65,1.92009,fourth_standard_pd,0.672953,0.0103034,21.5904,8.81979,0.00772611,0.667604,-31.4415,-52.7443
sensor_noise_frequency_hz,66,0.263637,s_curve_standard_pd,3.064,0.0750417,22.8387,8.27947,0.144258,2.96005,-4.93407,-39.9356
sensor_noise_frequency_hz,66,0.263637,fourth_standard_pd,3.067,0.0751297,20.7729,8.6421,0.146856,2.96102,-4.71512,-39.9728
sensor_noise_frequency_hz,67,0.113515,s_curve_standard_pd,0.99346,0.160201,19.4717,7.88371,3.65849,1.46742,24.2144,-45.1079
sensor_noise_frequency_hz,67,0.113515,fourth_standard_pd,0.958361,0.160373,18.3668,8.34327,3.64226,1.844,24.1328,-43.5792
