frequency_hz,controller,L_real,L_imag
0.018377,avc,-1.329014e+01,-5.072758e+00
0.018547,standard_pd,-1.291539e+01,-5.030325e+00
0.018547,filtered_pd,-1.293405e+01,-5.030256e+00
0.018547,avc,-1.304740e+01,-5.026167e+00
0.018719,standard_pd,-1.267933e+01,-4.984124e+00
0.018719,filtered_pd,-1.269799e+01,-4.984054e+00
0.018719,avc,-1.280910e+01,-4.980003e+00
0.018892,standard_pd,-1.244759e+01,-4.938347e+00
0.018892,filtered_pd,-1.246624e+01,-4.938276e+00
0.018892,avc,-1.257515e+01,-4.934263e+00
0.019067,standard_pd,-1.222007e+01,-4.892989e+00
0.019067,filtered_pd,-1.223873e+01,-4.892918e+00
0.019067,avc,-1.234548e+01,-4.888943e+00
0.019244,standard_pd,-1.199671e+01,-4.848047e+00
0.019244,filtered_pd,-1.201537e+01,-4.847975e+00
0.019244,avc,-1.212000e+01,-4.844037e+00
0.019422,standard_pd,-1.177744e+01,-4.803517e+00
0.019422,filtered_pd,-1.179610e+01,-4.803445e+00
0.019422,avc,-1.189864e+01,-4.799544e+00
0.019602,standard_pd,-1.156217e+01,-4.759396e+00
0.019602,filtered_pd,-1.158083e+01,-4.759323e+00
0.019602,avc,-1.168132e+01,-4.755459e+00
0.019783,standard_pd,-1.135083e+01,-4.715679e+00
0.019783,filtered_pd,-1.136949e+01,-4.715605e+00
0.019783,avc,-1.146798e+01,-4.711777e+00
0.019966,standard_pd,-1.114335e+01,-4.672363e+00
0.019966,filtered_pd,-1.116201e+01,-4.672288e+00
0.019966,avc,-1.125853e+01,-4.668497e+00
0.020151,standard_pd,-1.093967e+01,-4.629444e+00
0.020151,filtered_pd,-1.095833e+01,-4.629369e+00
0.020151,avc,-1.105291e+01,-4.625613e+00
0.020338,standard_pd,-1.073971e+01,-4.586919e+00
0.020338,filtered_pd,-1.075836e+01,-4.586843e+00
0.020338,avc,-1.085105e+01,-4.583122e+00
0.020526,standard_pd,-1.054339e+01,-4.544783e+00
0.020526,filtered_pd,-1.056205e+01,-4.544706e+00
0.020526,avc,-1.065287e+01,-4.541021e+00
0.020716,standard_pd,-1.035067e+01,-4.503034e+00
0.020716,filtered_pd,-1.036933e+01,-4.502957e+00
0.020716,avc,-1.045832e+01,-4.499306e+00
0.020908,standard_pd,-1.016147e+01,-4.461667e+00
0.020908,filtered_pd,-1.018012e+01,-4.461589e+00
0.020908,avc,-1.026732e+01,-4.457973e+00
0.021102,standard_pd,-9.975722e+00,-4.420680e+00
0.021102,filtered_pd,-9.994378e+00,-4.420601e+00
0.021102,avc,-1.007981e+01,-4.417019e+00
0.021297,standard_pd,-9.793369e+00,-4.380069e+00
0.021297,filtered_pd,-9.812026e+00,-4.379989e+00
0.021297,avc,-9.895723e+00,-4.376441e+00
0.021495,standard_pd,-9.614348e+00,-4.339830e+00
0.021495,filtered_pd,-9.633004e+00,-4.339749e+00
0.021495,avc,-9.715001e+00,-4.336234e+00
0.021694,standard_pd,-9.438598e+00,-4.299959e+00
0.021694,filtered_pd,-9.457254e+00,-4.299878e+00
0.021694,avc,-9.537581e+00,-4.296396e+00
0.021895,standard_pd,-9.266059e+00,-4.260454e+00
0.021895,filtered_pd,-9.284715e+00,-4.260373e+00
0.021895,avc,-9.363403e+00,-4.256924e+00
0.022098,standard_pd,-9.096672e+00,-4.221312e+00
0.022098,filtered_pd,-9.115327e+00,-4.221229e+00
0.022098,avc,-9.192407e+00,-4.217813e+00
0.022302,standard_pd,-8.930379e+00,-4.182528e+00
0.022302,filtered_pd,-8.949035e+00,-4.182445e+00
