frequency_hz,controller,S_mag_db,T_mag_db
0.017228,standard_pd,-23.5115,0.5266
0.017228,filtered_pd,-23.5216,0.5261
0.017228,avc,-23.5921,0.5226
0.017388,standard_pd,-23.3518,0.5355
0.017388,filtered_pd,-23.3620,0.5349
0.017388,avc,-23.4324,0.5314
0.017549,standard_pd,-23.1921,0.5444
0.017549,filtered_pd,-23.2025,0.5439
0.017549,avc,-23.2727,0.5403
0.017711,standard_pd,-23.0324,0.5535
0.017711,filtered_pd,-23.0430,0.5530
0.017711,avc,-23.1129,0.5494
0.017875,standard_pd,-22.8728,0.5628
0.017875,filtered_pd,-22.8835,0.5622
0.017875,avc,-22.9533,0.5586
0.018041,standard_pd,-22.7132,0.5722
0.018041,filtered_pd,-22.7241,0.5716
0.018041,avc,-22.7936,0.5679
0.018208,standard_pd,-22.5536,0.5817
0.018208,filtered_pd,-22.5647,0.5810
0.018208,avc,-22.6340,0.5773
0.018377,standard_pd,-22.3940,0.5913
0.018377,filtered_pd,-22.4053,0.5907
0.018377,avc,-22.4743,0.5869
0.018547,standard_pd,-22.2345,0.6011
0.018547,filtered_pd,-22.2460,0.6004
0.018547,avc,-22.3148,0.5966
0.018719,standard_pd,-22.0750,0.6110
0.018719,filtered_pd,-22.0867,0.6103
0.018719,avc,-22.1552,0.6065
0.018892,standard_pd,-21.9155,0.6210
0.018892,filtered_pd,-21.9274,0.6204
0.018892,avc,-21.9957,0.6165
0.019067,standard_pd,-21.7560,0.6312
0.019067,filtered_pd,-21.7681,0.6305
0.019067,avc,-21.8362,0.6267
0.019244,standard_pd,-21.5966,0.6416
0.019244,filtered_pd,-21.6089,0.6409
0.019244,avc,-21.6767,0.6370
0.019422,standard_pd,-21.4372,0.6521
0.019422,filtered_pd,-21.4497,0.6513
0.019422,avc,-21.5173,0.6474
0.019602,standard_pd,-21.2779,0.6627
0.019602,filtered_pd,-21.2906,0.6619
0.019602,avc,-21.3578,0.6580
0.019783,standard_pd,-21.1186,0.6735
0.019783,filtered_pd,-21.1315,0.6727
0.019783,avc,-21.1985,0.6687
0.019966,standard_pd,-20.9593,0.6844
0.019966,filtered_pd,-20.9725,0.6836
0.019966,avc,-21.0391,0.6796
0.020151,standard_pd,-20.8001,0.6954
0.020151,filtered_pd,-20.8134,0.6946
0.020151,avc,-20.8798,0.6906
0.020338,standard_pd,-20.6409,0.7066
0.020338,filtered_pd,-20.6545,0.7058
0.020338,avc,-20.7206,0.7017
0.020526,standard_pd,-20.4818,0.7180
0.020526,filtered_pd,-20.4956,0.7171
0.020526,avc,-20.5614,0.7131
0.020716,standard_pd,-20.3227,0.7295
0.020716,filtered_pd,-20.3367,0.7286
0.020716,avc,-20.4022,0.7245
0.020908,standard_pd,-20.1636,0.7412
0.020908,filtered_pd,-20.1779,0.7402
0.020908,avc,-20.2431,0.7361
0.021102,standard_pd,-20.0046,0.7530
0.021102,filtered_pd,-20.0191,0.7520
0.021102,avc,-20.0840,0.7479
0.021297,standard_pd,-19.8456,0.7649
0.021297,filtered_pd,-19.8604,0.7639
0.021297,avc,-19.9250,0.7598
0.021495,standard_pd,-19.6867,0.7770
0.021495,filtered_pd,-19.7017,0.7760
0.021495,avc,-19.7660,0.7719
0.021694,standard_pd,-19.5279,0.7893
