frequency_hz,controller,psd_n2m2_per_hz
20.312500,avc,4.494664e-09
20.703125,avc,3.996742e-09
21.093750,avc,3.566908e-09
21.484375,avc,3.185362e-09
21.875000,avc,2.852312e-09
22.265625,avc,2.557275e-09
22.656250,avc,2.296860e-09
23.046875,avc,2.066756e-09
23.437500,avc,1.861440e-09
23.828125,avc,1.680514e-09
24.218750,avc,1.517412e-09
24.609375,avc,1.374049e-09
25.000000,avc,1.243588e-09
25.390625,avc,1.129146e-09
25.781250,avc,1.024135e-09
26.171875,avc,9.321347e-10
26.562500,avc,8.471228e-10
26.953125,avc,7.726625e-10
27.343750,avc,7.034780e-10
27.734375,avc,6.428257e-10
28.125000,avc,5.862480e-10
28.515625,avc,5.365413e-10
28.906250,avc,4.900647e-10
29.296875,avc,4.490934e-10
29.687500,avc,4.107539e-10
30.078125,avc,3.768002e-10
30.468750,avc,3.450479e-10
30.859375,avc,3.167684e-10
31.250000,avc,2.903727e-10
31.640625,avc,2.667100e-10
32.031250,avc,2.446885e-10
32.421875,avc,2.248051e-10
32.812500,avc,2.063697e-10
33.203125,avc,1.895983e-10
33.593750,avc,1.741136e-10
33.984375,avc,1.599192e-10
34.375000,avc,1.468714e-10
34.765625,avc,1.348225e-10
35.156250,avc,1.237942e-10
35.546875,avc,1.135406e-10
35.937500,avc,1.041922e-10
36.328125,avc,9.544795e-11
36.718750,avc,8.750221e-11
37.109375,avc,8.003267e-11
37.500000,avc,7.326269e-11
37.890625,avc,6.687417e-11
38.281250,avc,6.109403e-11
38.671875,avc,5.562594e-11
39.062500,avc,5.068292e-11
39.453125,avc,4.600158e-11
39.843750,avc,4.177012e-11
40.234375,avc,3.776381e-11
40.625000,avc,3.414058e-11
41.015625,avc,3.071572e-11
41.406250,avc,2.761553e-11
41.796875,avc,2.469370e-11
42.187500,avc,2.204627e-11
42.578125,avc,1.956171e-11
42.968750,avc,1.730917e-11
43.359375,avc,1.520680e-11
43.750000,avc,1.330144e-11
44.140625,avc,1.153543e-11
44.531250,avc,9.938028e-12
44.921875,avc,8.470417e-12
45.312500,avc,7.148914e-12
45.703125,avc,5.948588e-12
46.093750,avc,4.877012e-12
46.484375,avc,3.918896e-12
46.875000,avc,3.076501e-12
47.265625,avc,2.340867e-12
47.656250,avc,1.711521e-12
48.046875,avc,1.183427e-12
48.437500,avc,7.551559e-13
48.828125,avc,4.240146e-13
49.218750,avc,1.886837e-13
49.609375,avc,4.793232e-14
50.000000,avc,5.372443e-16
