frequency_hz,method,psd_n2m2_per_hz
35.546875,fourth,2.807591e-12
35.937500,fourth,2.201916e-12
36.328125,fourth,1.983391e-12
36.718750,fourth,2.139397e-12
37.109375,fourth,1.736868e-12
37.500000,fourth,1.774597e-12
37.890625,fourth,1.732939e-12
38.281250,fourth,9.783031e-13
38.671875,fourth,1.419699e-12
39.062500,fourth,1.130432e-12
39.453125,fourth,1.087628e-12
39.843750,fourth,1.064956e-12
40.234375,fourth,8.033680e-13
40.625000,fourth,7.859324e-13
41.015625,fourth,8.932642e-13
41.406250,fourth,4.523150e-13
41.796875,fourth,5.278862e-13
42.187500,fourth,8.196452e-13
42.578125,fourth,3.770397e-13
42.968750,fourth,3.749623e-13
43.359375,fourth,4.879174e-13
43.750000,fourth,2.536671e-13
44.140625,fourth,3.141072e-13
44.531250,fourth,2.894088e-13
44.921875,fourth,2.677117e-13
45.312500,fourth,1.977959e-13
45.703125,fourth,1.636182e-13
46.093750,fourth,1.984487e-13
46.484375,fourth,1.206148e-13
46.875000,fourth,1.063384e-13
47.265625,fourth,1.259621e-13
47.656250,fourth,1.282774e-13
48.046875,fourth,2.490570e-14
48.437500,fourth,8.154715e-14
48.828125,fourth,1.001441e-13
49.218750,fourth,2.569963e-14
49.609375,fourth,4.321137e-14
50.000000,fourth,4.816275e-14
