factor,sample_index,factor_value,combo,rms_vibration_mm,rms_pointing_error_deg,peak_torque_nm,rms_torque_nm
modal_damping_scale,19,1.24638,fourth_standard_pd,0.0516955,0.00136519,16.7034,8.11927
modal_damping_scale,19,1.24638,fourth_filtered_pd,0.0496331,0.00110158,16.69,8.11988
modal_damping_scale,20,1.09376,unshaped_standard_pd,0.542653,0.0187497,15.5479,7.47187
modal_damping_scale,20,1.09376,unshaped_filtered_pd,0.493455,0.0168507,15.9751,7.4777
modal_damping_scale,20,1.09376,fourth_standard_pd,0.051888,0.00135809,16.7024,8.11929
modal_damping_scale,20,1.09376,fourth_filtered_pd,0.0496323,0.00108636,16.6883,8.1199
modal_damping_scale,21,0.721698,unshaped_standard_pd,0.588506,0.0203833,15.7068,7.47296
modal_damping_scale,21,0.721698,unshaped_filtered_pd,0.512023,0.0175671,16.0621,7.47938
modal_damping_scale,21,0.721698,fourth_standard_pd,0.0524045,0.00134106,16.6996,8.11935
modal_damping_scale,21,0.721698,fourth_filtered_pd,0.0496287,0.00104719,16.6837,8.11996
modal_damping_scale,22,0.703258,unshaped_standard_pd,0.591166,0.0204773,15.7152,7.47302
modal_damping_scale,22,0.703258,unshaped_filtered_pd,0.51301,0.0176054,16.0663,7.47947
modal_damping_scale,22,0.703258,fourth_standard_pd,0.052432,0.00134024,16.6995,8.11935
modal_damping_scale,22,0.703258,fourth_filtered_pd,0.0496289,0.00104519,16.6834,8.11996
modal_damping_scale,23,0.730995,unshaped_standard_pd,0.58718,0.0203364,15.7025,7.47293
modal_damping_scale,23,0.730995,unshaped_filtered_pd,0.51153,0.017548,16.06,7.47933
modal_damping_scale,23,0.730995,fourth_standard_pd,0.0523907,0.00134148,16.6997,8.11934
modal_damping_scale,23,0.730995,fourth_filtered_pd,0.0496285,0.00104818,16.6838,8.11995
modal_damping_scale,24,1.06356,unshaped_standard_pd,0.5459,0.018866,15.56,7.47195
modal_damping_scale,24,1.06356,unshaped_filtered_pd,0.494884,0.0169054,15.9823,7.47783
modal_damping_scale,24,1.06356,fourth_standard_pd,0.0519279,0.00135668,16.7022,8.11929
modal_damping_scale,24,1.06356,fourth_filtered_pd,0.0496317,0.00108327,16.6879,8.11991
modal_damping_scale,25,1.18089,unshaped_standard_pd,0.53368,0.0184277,15.5137,7.47166
modal_damping_scale,25,1.18089,unshaped_filtered_pd,0.489372,0.016696,15.9542,7.47735
modal_damping_scale,25,1.18089,fourth_standard_pd,0.0517767,0.00136214,16.703,8.11928
modal_damping_scale,25,1.18089,fourth_filtered_pd,0.0496339,0.00109521,16.6892,8.11989
modal_damping_scale,26,0.843132,unshaped_standard_pd,0.571986,0.0197979,15.6525,7.47257
modal_damping_scale,26,0.843132,unshaped_filtered_pd,0.505709,0.0173222,16.0342,7.4788
modal_damping_scale,26,0.843132,fourth_standard_pd,0.0522286,0.00134664,16.7006,8.11933
modal_damping_scale,26,0.843132,fourth_filtered_pd,0.0496292,0.00106024,16.6852,8.11994
