frequency_hz,method,psd_n2m2_per_hz
15.332031,unshaped,2.153461e-03
15.380859,unshaped,2.160012e-03
15.429688,unshaped,2.157674e-03
15.478516,unshaped,2.123991e-03
15.527344,unshaped,2.106268e-03
15.576172,unshaped,2.116254e-03
15.625000,unshaped,2.104684e-03
15.673828,unshaped,2.070666e-03
15.722656,unshaped,2.063147e-03
15.771484,unshaped,2.072258e-03
15.820313,unshaped,2.051771e-03
15.869141,unshaped,2.021568e-03
15.917969,unshaped,2.022982e-03
15.966797,unshaped,2.027343e-03
16.015625,unshaped,1.999994e-03
16.064453,unshaped,1.976936e-03
16.113281,unshaped,1.984487e-03
16.162109,unshaped,1.981359e-03
16.210938,unshaped,1.950478e-03
16.259766,unshaped,1.936489e-03
16.308594,unshaped,1.946434e-03
16.357422,unshaped,1.934673e-03
16.406250,unshaped,1.904184e-03
16.455078,unshaped,1.899485e-03
16.503906,unshaped,1.907864e-03
16.552734,unshaped,1.888069e-03
16.601563,unshaped,1.861720e-03
16.650391,unshaped,1.864861e-03
16.699219,unshaped,1.868242e-03
16.748047,unshaped,1.842562e-03
16.796875,unshaped,1.823236e-03
16.845703,unshaped,1.831430e-03
16.894531,unshaped,1.827525e-03
16.943359,unshaped,1.799191e-03
16.992188,unshaped,1.788398e-03
17.041016,unshaped,1.798095e-03
17.089844,unshaped,1.786139e-03
17.138672,unshaped,1.758810e-03
17.187500,unshaped,1.756465e-03
17.236328,unshaped,1.764037e-03
17.285156,unshaped,1.744868e-03
17.333984,unshaped,1.721922e-03
17.382813,unshaped,1.726426e-03
17.431641,unshaped,1.728844e-03
17.480469,unshaped,1.704681e-03
17.529297,unshaped,1.688595e-03
17.578125,unshaped,1.697187e-03
17.626953,unshaped,1.692563e-03
17.675781,unshaped,1.666533e-03
17.724609,unshaped,1.658454e-03
17.773438,unshaped,1.667771e-03
17.822266,unshaped,1.655668e-03
17.871094,unshaped,1.631176e-03
17.919922,unshaped,1.630758e-03
17.968750,unshaped,1.637482e-03
18.017578,unshaped,1.618937e-03
18.066406,unshaped,1.599017e-03
18.115234,unshaped,1.604547e-03
18.164063,unshaped,1.606019e-03
18.212891,unshaped,1.583290e-03
18.261719,unshaped,1.570050e-03
18.310547,unshaped,1.578813e-03
18.359375,unshaped,1.573508e-03
18.408203,unshaped,1.549603e-03
18.457031,unshaped,1.543863e-03
18.505859,unshaped,1.552685e-03
18.554688,unshaped,1.540454e-03
18.603516,unshaped,1.518535e-03
18.652344,unshaped,1.519724e-03
18.701172,unshaped,1.525578e-03
18.750000,unshaped,1.507625e-03
18.798828,unshaped,1.490405e-03
18.847656,unshaped,1.496718e-03
18.896484,unshaped,1.497287e-03
