frequency_hz,controller,L_real,L_imag
0.032547,filtered_pd,-2.936413e+01,-1.609158e+01
0.032849,standard_pd,-2.876305e+01,-1.062934e+01
0.032849,filtered_pd,-2.882850e+01,-1.594372e+01
0.033153,standard_pd,-2.823721e+01,-1.053167e+01
0.033153,filtered_pd,-2.830266e+01,-1.579721e+01
0.033460,standard_pd,-2.772098e+01,-1.043490e+01
0.033460,filtered_pd,-2.778643e+01,-1.565204e+01
0.033770,standard_pd,-2.721418e+01,-1.033901e+01
0.033770,filtered_pd,-2.727963e+01,-1.550821e+01
0.034083,standard_pd,-2.671663e+01,-1.024400e+01
0.034083,filtered_pd,-2.678209e+01,-1.536569e+01
0.034398,standard_pd,-2.622818e+01,-1.014986e+01
0.034398,filtered_pd,-2.629363e+01,-1.522448e+01
0.034717,standard_pd,-2.574866e+01,-1.005658e+01
0.034717,filtered_pd,-2.581411e+01,-1.508456e+01
0.035038,standard_pd,-2.527789e+01,-9.964162e+00
0.035038,filtered_pd,-2.534334e+01,-1.494593e+01
0.035363,standard_pd,-2.481572e+01,-9.872587e+00
0.035363,filtered_pd,-2.488117e+01,-1.480856e+01
0.035690,standard_pd,-2.436200e+01,-9.781852e+00
0.035690,filtered_pd,-2.442745e+01,-1.467246e+01
0.036021,standard_pd,-2.391657e+01,-9.691948e+00
0.036021,filtered_pd,-2.398202e+01,-1.453760e+01
0.036355,standard_pd,-2.347928e+01,-9.602867e+00
0.036355,filtered_pd,-2.354472e+01,-1.440397e+01
0.036691,standard_pd,-2.304997e+01,-9.514603e+00
0.036691,filtered_pd,-2.311541e+01,-1.427158e+01
0.037031,standard_pd,-2.262851e+01,-9.427148e+00
0.037031,filtered_pd,-2.269395e+01,-1.414039e+01
0.037374,standard_pd,-2.221475e+01,-9.340494e+00
0.037374,filtered_pd,-2.228019e+01,-1.401040e+01
0.037720,standard_pd,-2.180855e+01,-9.254634e+00
0.037720,filtered_pd,-2.187399e+01,-1.388161e+01
0.038070,standard_pd,-2.140977e+01,-9.169561e+00
0.038070,filtered_pd,-2.147520e+01,-1.375400e+01
0.038422,standard_pd,-2.101827e+01,-9.085266e+00
0.038422,filtered_pd,-2.108371e+01,-1.362755e+01
0.038778,standard_pd,-2.063393e+01,-9.001745e+00
0.038778,filtered_pd,-2.069936e+01,-1.350227e+01
