factor,sample_index,factor_value,combo,rms_vibration_mm,rms_pointing_error_deg,peak_torque_nm,rms_torque_nm
inertia_scale,27,0.726282,unshaped_filtered_pd,0.487583,0.016678,13.3783,6.15425
inertia_scale,27,0.726282,fourth_standard_pd,0.0532718,0.00151363,13.7644,6.68006
inertia_scale,27,0.726282,fourth_filtered_pd,0.0503173,0.00114163,13.7537,6.68066
inertia_scale,28,0.792574,unshaped_standard_pd,0.536651,0.0185214,13.8517,6.4687
inertia_scale,28,0.792574,unshaped_filtered_pd,0.491405,0.0168075,14.0265,6.47483
inertia_scale,28,0.792574,fourth_standard_pd,0.052959,0.00146981,14.476,7.02863
inertia_scale,28,0.792574,fourth_filtered_pd,0.0501419,0.00112367,14.4643,7.02923
inertia_scale,29,1.10983,unshaped_standard_pd,0.556766,0.0192681,16.497,8.00354
inertia_scale,29,1.10983,unshaped_filtered_pd,0.498726,0.0170456,17.0008,8.0094
inertia_scale,29,1.10983,fourth_standard_pd,0.0515583,0.00130298,17.8804,8.6968
inertia_scale,29,1.10983,fourth_filtered_pd,0.0493798,0.00105601,17.8641,8.69742
inertia_scale,30,1.14686,unshaped_standard_pd,0.557493,0.0192973,16.8039,8.18272
inertia_scale,30,1.14686,unshaped_filtered_pd,0.498662,0.0170427,17.3368,8.18854
inertia_scale,30,1.14686,fourth_standard_pd,0.0514148,0.00128726,18.2778,8.8915
inertia_scale,30,1.14686,fourth_filtered_pd,0.0492981,0.00104952,18.261,8.89212
inertia_scale,31,1.28051,unshaped_standard_pd,0.557888,0.0193307,17.909,8.8295
inertia_scale,31,1.28051,unshaped_filtered_pd,0.497503,0.0169959,18.5301,8.83517
inertia_scale,31,1.28051,fourth_standard_pd,0.0509355,0.00123551,19.7123,9.59423
inertia_scale,31,1.28051,fourth_filtered_pd,0.0490259,0.0010283,19.6935,9.59486
inertia_scale,32,0.895495,unshaped_standard_pd,0.546459,0.0188761,14.7156,6.96654
inertia_scale,32,0.895495,unshaped_filtered_pd,0.495578,0.0169463,15.0184,6.97261
inertia_scale,32,0.895495,fourth_standard_pd,0.0524769,0.00140854,15.5805,7.5698
inertia_scale,32,0.895495,fourth_filtered_pd,0.0498848,0.00109899,15.5673,7.57041
inertia_scale,33,0.922276,unshaped_standard_pd,0.548439,0.0189488,14.9391,7.0961
inertia_scale,33,0.922276,unshaped_filtered_pd,0.496338,0.0169714,15.2724,7.10214
inertia_scale,33,0.922276,fourth_standard_pd,0.0523548,0.00139384,15.8678,7.71062
inertia_scale,33,0.922276,fourth_filtered_pd,0.0498182,0.00109301,15.8543,7.71123
inertia_scale,34,0.981733,unshaped_standard_pd,0.552046,0.0190844,15.4347,7.38375
inertia_scale,34,0.981733,unshaped_filtered_pd,0.497646,0.0170131,15.8282,7.38974
inertia_scale,34,0.981733,fourth_standard_pd,0.0520902,0.00136283,16.5058,8.02326
inertia_scale,34,0.981733,fourth_filtered_pd,0.049674,0.00108041,16.4914,8.02387
inertia_scale,35,0.813683,unshaped_standard_pd,0.538989,0.0186043,14.0297,6.5708
inertia_scale,35,0.813683,unshaped_filtered_pd,0.492427,0.0168419,14.2327,6.57692
inertia_scale,35,0.813683,fourth_standard_pd,0.052859,0.00145659,14.7025,7.13962
inertia_scale,35,0.813683,fourth_filtered_pd,0.0500855,0.00111822,14.6905,7.14023
inertia_scale,36,0.777953,unshaped_standard_pd,0.534953,0.0184606,13.7286,6.39798
inertia_scale,36,0.777953,unshaped_filtered_pd,0.490646,0.0167819,13.8817,6.40413
inertia_scale,36,0.777953,fourth_standard_pd,0.053028,0.00147915,14.319,6.95175
inertia_scale,36,0.777953,fourth_filtered_pd,0.0501811,0.00112752,14.3076,6.95235
inertia_scale,37,0.985423,unshaped_standard_pd,0.552244,0.0190917,15.4653,7.4016
inertia_scale,37,0.985423,unshaped_filtered_pd,0.497705,0.0170151,15.8625,7.40758
inertia_scale,37,0.985423,fourth_standard_pd,0.0520744,0.00136098,16.5454,8.04266
inertia_scale,37,0.985423,fourth_filtered_pd,0.0496651,0.00107966,16.531,8.04327
inertia_scale,38,0.836146,unshaped_standard_pd,0.541262,0.0186867,14.2177,6.67945
inertia_scale,38,0.836146,unshaped_filtered_pd,0.493419,0.0168749,14.4503,6.68556
inertia_scale,38,0.836146,fourth_standard_pd,0.0527532,0.00144293,14.9436,7.25774
inertia_scale,38,0.836146,fourth_filtered_pd,0.0500219,0.00111242,14.9313,7.25834
inertia_scale,39,1.10189,unshaped_standard_pd,0.556587,0.0192606,16.4311,7.96512
inertia_scale,39,1.10189,unshaped_filtered_pd,0.49872,0.0170456,16.9293,7.97099
inertia_scale,39,1.10189,fourth_standard_pd,0.0515899,0.00130645,17.7951,8.65504
inertia_scale,39,1.10189,fourth_filtered_pd,0.0493977,0.00105744,17.779,8.65566
inertia_scale,40,0.962291,unshaped_standard_pd,0.550969,0.0190438,15.2725,7.28968
inertia_scale,40,0.962291,unshaped_filtered_pd,0.497289,0.0170015,15.6465,7.29569
inertia_scale,40,0.962291,fourth_standard_pd,0.0521758,0.00137274,16.2972,7.92103
inertia_scale,40,0.962291,fourth_filtered_pd,0.0497208,0.00108444,16.2831,7.92164
inertia_scale,41,1.19961,unshaped_standard_pd,0.557991,0.019323,17.2404,8.43799
inertia_scale,41,1.19961,unshaped_filtered_pd,0.498387,0.0170305,17.809,8.44375
inertia_scale,41,1.19961,fourth_standard_pd,0.0512187,0.00126595,18.8439,9.16886
inertia_scale,41,1.19961,fourth_filtered_pd,0.0491858,0.00104071,18.8264,9.16948
inertia_scale,42,1.12016,unshaped_standard_pd,0.556986,0.0192772,16.5829,8.05353
inertia_scale,42,1.12016,unshaped_filtered_pd,0.498722,0.0170453,17.0949,8.05938
inertia_scale,42,1.12016,fourth_standard_pd,0.051518,0.00129853,17.9912,8.75111
inertia_scale,42,1.12016,fourth_filtered_pd,0.049357,0.00105418,17.9748,8.75173
inertia_scale,43,0.88742,unshaped_standard_pd,0.545823,0.0188526,14.6481,6.92748
inertia_scale,43,0.88742,unshaped_filtered_pd,0.495325,0.0169379,14.941,6.93355
inertia_scale,43,0.88742,fourth_standard_pd,0.0525142,0.00141308,15.4938,7.52734
