frequency_hz,controller,S_mag_db,T_mag_db
0.029681,filtered_pd,-30.0097,0.2412
0.029955,standard_pd,-29.2956,0.2773
0.029955,filtered_pd,-29.8623,0.2448
0.030233,standard_pd,-29.1390,0.2820
0.030233,filtered_pd,-29.7151,0.2484
0.030513,standard_pd,-28.9825,0.2867
0.030513,filtered_pd,-29.5682,0.2521
0.030796,standard_pd,-28.8260,0.2915
0.030796,filtered_pd,-29.4214,0.2558
0.031081,standard_pd,-28.6696,0.2964
0.031081,filtered_pd,-29.2748,0.2595
0.031369,standard_pd,-28.5133,0.3014
0.031369,filtered_pd,-29.1285,0.2633
0.031659,standard_pd,-28.3570,0.3064
0.031659,filtered_pd,-28.9823,0.2671
0.031952,standard_pd,-28.2008,0.3116
0.031952,filtered_pd,-28.8364,0.2710
0.032248,standard_pd,-28.0447,0.3168
0.032248,filtered_pd,-28.6907,0.2749
0.032547,standard_pd,-27.8887,0.3220
0.032547,filtered_pd,-28.5453,0.2789
0.032849,standard_pd,-27.7327,0.3274
0.032849,filtered_pd,-28.4000,0.2829
0.033153,standard_pd,-27.5768,0.3328
0.033153,filtered_pd,-28.2550,0.2869
0.033460,standard_pd,-27.4210,0.3383
0.033460,filtered_pd,-28.1102,0.2909
0.033770,standard_pd,-27.2653,0.3439
0.033770,filtered_pd,-27.9657,0.2950
0.034083,standard_pd,-27.1097,0.3495
0.034083,filtered_pd,-27.8214,0.2992
0.034398,standard_pd,-26.9541,0.3552
0.034398,filtered_pd,-27.6773,0.3034
0.034717,standard_pd,-26.7987,0.3611
0.034717,filtered_pd,-27.5335,0.3076
0.035038,standard_pd,-26.6433,0.3670
0.035038,filtered_pd,-27.3899,0.3118
0.035363,standard_pd,-26.4880,0.3729
0.035363,filtered_pd,-27.2465,0.3161
0.035690,standard_pd,-26.3328,0.3790
0.035690,filtered_pd,-27.1035,0.3204
0.036021,standard_pd,-26.1777,0.3851
0.036021,filtered_pd,-26.9606,0.3248
0.036355,standard_pd,-26.0227,0.3914
0.036355,filtered_pd,-26.8181,0.3292
0.036691,standard_pd,-25.8678,0.3977
0.036691,filtered_pd,-26.6757,0.3336
0.037031,standard_pd,-25.7130,0.4041
0.037031,filtered_pd,-26.5337,0.3381
0.037374,standard_pd,-25.5583,0.4106
0.037374,filtered_pd,-26.3919,0.3426
0.037720,standard_pd,-25.4037,0.4171
0.037720,filtered_pd,-26.2504,0.3471
0.038070,standard_pd,-25.2492,0.4238
0.038070,filtered_pd,-26.1091,0.3517
0.038422,standard_pd,-25.0948,0.4305
0.038422,filtered_pd,-25.9682,0.3563
0.038778,standard_pd,-24.9405,0.4373
0.038778,filtered_pd,-25.8275,0.3609
0.039137,standard_pd,-24.7864,0.4443
0.039137,filtered_pd,-25.6871,0.3656
0.039500,standard_pd,-24.6323,0.4513
0.039500,filtered_pd,-25.5469,0.3703
0.039866,standard_pd,-24.4784,0.4584
0.039866,filtered_pd,-25.4071,0.3750
0.040235,standard_pd,-24.3245,0.4655
0.040235,filtered_pd,-25.2675,0.3798
0.040608,standard_pd,-24.1708,0.4728
0.040608,filtered_pd,-25.1283,0.3846
0.040984,standard_pd,-24.0173,0.4802
0.040984,filtered_pd,-24.9893,0.3894
0.041363,standard_pd,-23.8638,0.4876
0.041363,filtered_pd,-24.8506,0.3942
0.041747,standard_pd,-23.7105,0.4951
0.041747,filtered_pd,-24.7123,0.3991
0.042133,standard_pd,-23.5572,0.5028
0.042133,filtered_pd,-24.5742,0.4040
0.042523,standard_pd,-23.4042,0.5105
0.042523,filtered_pd,-24.4364,0.4089
0.042917,standard_pd,-23.2512,0.5183
0.042917,filtered_pd,-24.2990,0.4139
0.043315,standard_pd,-23.0984,0.5262
0.043315,filtered_pd,-24.1618,0.4188
0.043716,standard_pd,-22.9458,0.5342
0.043716,filtered_pd,-24.0250,0.4238
0.044121,standard_pd,-22.7932,0.5423
0.044121,filtered_pd,-23.8885,0.4289
0.044530,standard_pd,-22.6408,0.5504
0.044530,filtered_pd,-23.7523,0.4339
0.044942,standard_pd,-22.4886,0.5587
0.044942,filtered_pd,-23.6164,0.4390
0.045358,standard_pd,-22.3365,0.5670
0.045358,filtered_pd,-23.4808,0.4440
0.045778,standard_pd,-22.1846,0.5755
0.045778,filtered_pd,-23.3456,0.4491
0.046202,standard_pd,-22.0328,0.5840
0.046202,filtered_pd,-23.2107,0.4542
0.046630,standard_pd,-21.8812,0.5926
0.046630,filtered_pd,-23.0761,0.4594
0.047062,standard_pd,-21.7297,0.6013
0.047062,filtered_pd,-22.9419,0.4645
0.047498,standard_pd,-21.5784,0.6101
0.047498,filtered_pd,-22.8080,0.4697
0.047938,standard_pd,-21.4273,0.6190
0.047938,filtered_pd,-22.6745,0.4748
0.048382,standard_pd,-21.2764,0.6280
0.048382,filtered_pd,-22.5413,0.4800
0.048830,standard_pd,-21.1256,0.6370
0.048830,filtered_pd,-22.4084,0.4852
0.049282,standard_pd,-20.9750,0.6462
0.049282,filtered_pd,-22.2759,0.4904
0.049739,standard_pd,-20.8245,0.6554
0.049739,filtered_pd,-22.1437,0.4956
0.050200,standard_pd,-20.6743,0.6647
0.050200,filtered_pd,-22.0119,0.5008
0.050665,standard_pd,-20.5242,0.6741
0.050665,filtered_pd,-21.8805,0.5060
0.051134,standard_pd,-20.3744,0.6836
0.051134,filtered_pd,-21.7494,0.5113
0.051607,standard_pd,-20.2247,0.6932
0.051607,filtered_pd,-21.6186,0.5165
0.052085,standard_pd,-20.0752,0.7028
0.052085,filtered_pd,-21.4883,0.5217
0.052568,standard_pd,-19.9259,0.7125
0.052568,filtered_pd,-21.3583,0.5269
0.053055,standard_pd,-19.7769,0.7223
0.053055,filtered_pd,-21.2286,0.5321
0.053546,standard_pd,-19.6280,0.7322
0.053546,filtered_pd,-21.0993,0.5374
0.054042,standard_pd,-19.4794,0.7422
0.054042,filtered_pd,-20.9704,0.5426
0.054543,standard_pd,-19.3309,0.7522
0.054543,filtered_pd,-20.8419,0.5478
0.055048,standard_pd,-19.1827,0.7623
0.055048,filtered_pd,-20.7137,0.5530
0.055558,standard_pd,-19.0347,0.7725
0.055558,filtered_pd,-20.5860,0.5582
0.056072,standard_pd,-18.8870,0.7827
0.056072,filtered_pd,-20.4586,0.5633
0.056592,standard_pd,-18.7394,0.7930
0.056592,filtered_pd,-20.3315,0.5685
0.057116,standard_pd,-18.5921,0.8034
0.057116,filtered_pd,-20.2049,0.5736
0.057645,standard_pd,-18.4451,0.8139
0.057645,filtered_pd,-20.0787,0.5788
0.058179,standard_pd,-18.2983,0.8244
0.058179,filtered_pd,-19.9528,0.5839
0.058718,standard_pd,-18.1517,0.8349
0.058718,filtered_pd,-19.8273,0.5890
0.059262,standard_pd,-18.0054,0.8456
0.059262,filtered_pd,-19.7022,0.5941
0.059810,standard_pd,-17.8594,0.8562
0.059810,filtered_pd,-19.5775,0.5991
0.060364,standard_pd,-17.7136,0.8670
0.060364,filtered_pd,-19.4532,0.6041
0.060923,standard_pd,-17.5681,0.8777
0.060923,filtered_pd,-19.3293,0.6091
0.061488,standard_pd,-17.4229,0.8886
0.061488,filtered_pd,-19.2058,0.6141
0.062057,standard_pd,-17.2780,0.8994
0.062057,filtered_pd,-19.0827,0.6190
0.062632,standard_pd,-17.1333,0.9103
0.062632,filtered_pd,-18.9600,0.6239
0.063212,standard_pd,-16.9889,0.9213
0.063212,filtered_pd,-18.8377,0.6288
0.063798,standard_pd,-16.8448,0.9323
0.063798,filtered_pd,-18.7158,0.6337
0.064389,standard_pd,-16.7010,0.9433
0.064389,filtered_pd,-18.5943,0.6385
0.064985,standard_pd,-16.5576,0.9543
0.064985,filtered_pd,-18.4732,0.6432
0.065587,standard_pd,-16.4144,0.9654
0.065587,filtered_pd,-18.3525,0.6479
0.066194,standard_pd,-16.2716,0.9765
0.066194,filtered_pd,-18.2322,0.6526
0.066807,standard_pd,-16.1290,0.9876
0.066807,filtered_pd,-18.1124,0.6573
0.067426,standard_pd,-15.9868,0.9987
0.067426,filtered_pd,-17.9929,0.6618
0.068051,standard_pd,-15.8450,1.0098
0.068051,filtered_pd,-17.8738,0.6664
0.068681,standard_pd,-15.7034,1.0210
0.068681,filtered_pd,-17.7552,0.6709
0.069317,standard_pd,-15.5622,1.0321
0.069317,filtered_pd,-17.6370,0.6753
0.069959,standard_pd,-15.4214,1.0432
0.069959,filtered_pd,-17.5192,0.6797
0.070607,standard_pd,-15.2809,1.0544
0.070607,filtered_pd,-17.4018,0.6840
0.071261,standard_pd,-15.1408,1.0655
0.071261,filtered_pd,-17.2848,0.6883
0.071921,standard_pd,-15.0011,1.0766
0.071921,filtered_pd,-17.1682,0.6925
0.072587,standard_pd,-14.8617,1.0876
0.072587,filtered_pd,-17.0520,0.6966
0.073260,standard_pd,-14.7227,1.0987
0.073260,filtered_pd,-16.9363,0.7007
0.073938,standard_pd,-14.5841,1.1097
0.073938,filtered_pd,-16.8210,0.7048
0.074623,standard_pd,-14.4459,1.1207
0.074623,filtered_pd,-16.7061,0.7087
0.075314,standard_pd,-14.3081,1.1316
0.075314,filtered_pd,-16.5916,0.7126
0.076012,standard_pd,-14.1707,1.1425
0.076012,filtered_pd,-16.4775,0.7164
0.076716,standard_pd,-14.0337,1.1533
0.076716,filtered_pd,-16.3639,0.7201
0.077426,standard_pd,-13.8972,1.1641
0.077426,filtered_pd,-16.2507,0.7238
0.078144,standard_pd,-13.7610,1.1748
0.078144,filtered_pd,-16.1379,0.7274
0.078867,standard_pd,-13.6253,1.1854
0.078867,filtered_pd,-16.0255,0.7309
0.079598,standard_pd,-13.4901,1.1959
0.079598,filtered_pd,-15.9135,0.7343
0.080335,standard_pd,-13.3553,1.2064
0.080335,filtered_pd,-15.8020,0.7376
0.081079,standard_pd,-13.2209,1.2168
0.081079,filtered_pd,-15.6908,0.7409
0.081830,standard_pd,-13.0871,1.2270
0.081830,filtered_pd,-15.5801,0.7441
0.082588,standard_pd,-12.9537,1.2372
0.082588,filtered_pd,-15.4698,0.7471
0.083353,standard_pd,-12.8207,1.2472
0.083353,filtered_pd,-15.3600,0.7501
0.084125,standard_pd,-12.6883,1.2572
0.084125,filtered_pd,-15.2505,0.7530
0.084904,standard_pd,-12.5563,1.2670
0.084904,filtered_pd,-15.1415,0.7558
0.085691,standard_pd,-12.4249,1.2767
0.085691,filtered_pd,-15.0329,0.7585
0.086484,standard_pd,-12.2940,1.2862
0.086484,filtered_pd,-14.9247,0.7611
0.087285,standard_pd,-12.1635,1.2956
0.087285,filtered_pd,-14.8170,0.7636
