time_s,method,displacement_m
5.400000,unshaped,-3.187612e-04
5.410000,unshaped,-4.545136e-04
5.420000,unshaped,-5.861589e-04
5.430000,unshaped,-7.138851e-04
5.440000,unshaped,-8.379070e-04
5.450000,unshaped,-9.584644e-04
5.460000,unshaped,-1.075819e-03
5.470000,unshaped,-1.190251e-03
5.480000,unshaped,-1.302058e-03
5.490000,unshaped,-1.411548e-03
5.500000,unshaped,-1.519041e-03
5.510000,unshaped,-1.624863e-03
5.520000,unshaped,-1.729341e-03
5.530000,unshaped,-1.832803e-03
5.540000,unshaped,-1.935574e-03
5.550000,unshaped,-2.037971e-03
5.560000,unshaped,-2.140300e-03
5.570000,unshaped,-2.242856e-03
5.580000,unshaped,-2.345915e-03
5.590000,unshaped,-2.449737e-03
5.600000,unshaped,-2.554557e-03
5.610000,unshaped,-2.660588e-03
5.620000,unshaped,-2.768015e-03
5.630000,unshaped,-2.876997e-03
5.640000,unshaped,-2.987658e-03
5.650000,unshaped,-3.100095e-03
5.660000,unshaped,-3.214368e-03
5.670000,unshaped,-3.330506e-03
5.680000,unshaped,-3.448500e-03
5.690000,unshaped,-3.568308e-03
5.700000,unshaped,-3.689850e-03
5.710000,unshaped,-3.813014e-03
5.720000,unshaped,-3.937650e-03
5.730000,unshaped,-4.063575e-03
5.740000,unshaped,-4.190572e-03
5.750000,unshaped,-4.318394e-03
5.760000,unshaped,-4.446762e-03
5.770000,unshaped,-4.575369e-03
5.780000,unshaped,-4.703881e-03
5.790000,unshaped,-4.831940e-03
5.800000,unshaped,-4.959165e-03
5.810000,unshaped,-5.085158e-03
5.820000,unshaped,-5.209504e-03
5.830000,unshaped,-5.331772e-03
5.840000,unshaped,-5.451524e-03
5.850000,unshaped,-5.568312e-03
5.860000,unshaped,-5.681686e-03
5.870000,unshaped,-5.791193e-03
5.880000,unshaped,-5.896384e-03
5.890000,unshaped,-5.996815e-03
5.900000,unshaped,-6.092051e-03
5.910000,unshaped,-6.181669e-03
5.920000,unshaped,-6.265261e-03
5.930000,unshaped,-6.342438e-03
5.940000,unshaped,-6.412831e-03
5.950000,unshaped,-6.476095e-03
5.960000,unshaped,-6.531911e-03
5.970000,unshaped,-6.579988e-03
5.980000,unshaped,-6.620067e-03
5.990000,unshaped,-6.651921e-03
6.000000,unshaped,-6.675357e-03
6.010000,unshaped,-6.690218e-03
6.020000,unshaped,-6.696383e-03
6.030000,unshaped,-6.693769e-03
6.040000,unshaped,-6.682333e-03
6.050000,unshaped,-6.662068e-03
6.060000,unshaped,-6.633007e-03
6.070000,unshaped,-6.595221e-03
6.080000,unshaped,-6.548821e-03
6.090000,unshaped,-6.493951e-03
6.100000,unshaped,-6.430796e-03
6.110000,unshaped,-6.359572e-03
6.120000,unshaped,-6.280529e-03
6.130000,unshaped,-6.193950e-03
6.140000,unshaped,-6.100147e-03
6.150000,unshaped,-5.999458e-03
6.160000,unshaped,-5.892246e-03
6.170000,unshaped,-5.778898e-03
6.180000,unshaped,-5.659819e-03
6.190000,unshaped,-5.535430e-03
6.200000,unshaped,-5.406168e-03
6.210000,unshaped,-5.272479e-03
6.220000,unshaped,-5.134817e-03
6.230000,unshaped,-4.993641e-03
6.240000,unshaped,-4.849410e-03
6.250000,unshaped,-4.702583e-03
6.260000,unshaped,-4.553613e-03
6.270000,unshaped,-4.402946e-03
6.280000,unshaped,-4.251017e-03
