factor,sample_index,factor_value,combo,rms_vibration_mm,rms_pointing_error_deg,peak_torque_nm,rms_torque_nm,pointing_band_rms_deg,vibration_band_rms_mm,pointing_psd_at_f0_db,vibration_psd_at_f0_db
disturbance_frequency_hz,24,43.5882,fourth_filtered_pd,0.0496307,0.00107672,16.6947,8.11992,7.26669e-08,4.78611e-06,-145.624,-164.843
disturbance_frequency_hz,25,1.29072,unshaped_standard_pd,0.552949,0.0191193,15.5942,7.47216,0.00111112,0.116411,-48.5202,-68.2086
disturbance_frequency_hz,25,1.29072,unshaped_filtered_pd,0.497898,0.0170223,16.003,7.47814,0.00110748,0.10623,-48.5872,-68.8433
disturbance_frequency_hz,25,1.29072,fourth_standard_pd,0.0519761,0.00135407,16.7056,8.11931,0.00110028,0.00273493,-48.6318,-101.206
disturbance_frequency_hz,25,1.29072,fourth_filtered_pd,0.0496078,0.00107709,16.69,8.11992,0.00110117,0.00253883,-48.5926,-101.68
disturbance_frequency_hz,26,13.8715,unshaped_standard_pd,0.552974,0.0191192,15.5958,7.47212,4.89387e-06,0.00142493,-107.584,-124.096
disturbance_frequency_hz,26,13.8715,unshaped_filtered_pd,0.497918,0.0170222,16.0031,7.4781,4.11811e-06,0.00109679,-109.044,-118.804
disturbance_frequency_hz,26,13.8715,fourth_standard_pd,0.0520113,0.00135375,16.7084,8.11931,3.42497e-06,0.00012297,-111.108,-145.2
disturbance_frequency_hz,26,13.8715,fourth_filtered_pd,0.0496307,0.00107673,16.6965,8.11992,3.43417e-06,9.05767e-05,-111.13,-140.14
disturbance_frequency_hz,27,0.169404,unshaped_standard_pd,0.552961,0.019116,15.5828,7.47203,0.811435,0.10998,10.7992,-72.0065
disturbance_frequency_hz,27,0.169404,unshaped_filtered_pd,0.497908,0.0170205,15.9977,7.47803,0.811216,0.114028,10.7966,-71.781
disturbance_frequency_hz,27,0.169404,fourth_standard_pd,0.0520706,0.00136701,16.6965,8.11934,0.791881,0.260075,10.6446,-63.8821
disturbance_frequency_hz,27,0.169404,fourth_filtered_pd,0.0496508,0.00108673,16.6837,8.11994,0.791783,0.262049,10.6432,-63.8316
disturbance_frequency_hz,28,3.15627,unshaped_standard_pd,0.55298,0.0191192,15.5866,7.47214,0.000158283,0.0219071,-71.3802,-87.8295
disturbance_frequency_hz,28,3.15627,unshaped_filtered_pd,0.497922,0.0170222,15.9894,7.47812,0.00019276,0.021154,-69.9676,-89.4323
disturbance_frequency_hz,28,3.15627,fourth_standard_pd,0.0520112,0.00135374,16.7098,8.11931,0.000132878,0.00112052,-72.5156,-114.631
disturbance_frequency_hz,28,3.15627,fourth_filtered_pd,0.0496298,0.00107677,16.6945,8.11992,0.000132827,0.00135981,-72.5014,-111.925
disturbance_frequency_hz,29,14.6129,unshaped_standard_pd,0.552974,0.0191192,15.5775,7.47212,4.13044e-06,0.00125464,-110.225,-124.988
disturbance_frequency_hz,29,14.6129,unshaped_filtered_pd,0.497918,0.0170222,16.0032,7.4781,3.56484e-06,0.00111694,-111.689,-123.19
disturbance_frequency_hz,29,14.6129,fourth_standard_pd,0.0520113,0.00135375,16.7112,8.11931,2.96838e-06,0.000108794,-112.476,-142.931
disturbance_frequency_hz,29,14.6129,fourth_filtered_pd,0.0496305,0.00107672,16.6958,8.11992,2.97674e-06,8.98342e-05,-112.53,-144.245
disturbance_frequency_hz,30,31.3143,unshaped_standard_pd,0.552974,0.0191192,15.5956,7.47212,3.33525e-07,0.00026272,-133.474,-136.199
disturbance_frequency_hz,30,31.3143,unshaped_filtered_pd,0.497918,0.0170222,15.9988,7.4781,3.23343e-07,0.000240693,-133.482,-136.516
disturbance_frequency_hz,30,31.3143,fourth_standard_pd,0.0520114,0.00135375,16.711,8.11931,3.2382e-07,2.32723e-05,-132.779,-152.426
disturbance_frequency_hz,30,31.3143,fourth_filtered_pd,0.0496306,0.00107672,16.6949,8.11992,3.25919e-07,1.53421e-05,-133.079,-155.412
disturbance_frequency_hz,31,16.6007,unshaped_standard_pd,0.552974,0.0191192,15.5956,7.47212,2.85341e-06,0.000987086,-113.703,-124.32
disturbance_frequency_hz,31,16.6007,unshaped_filtered_pd,0.497918,0.0170222,16.0075,7.4781,2.43561e-06,0.000849073,-114.675,-128.312
disturbance_frequency_hz,31,16.6007,fourth_standard_pd,0.0520113,0.00135375,16.7111,8.11931,2.16602e-06,8.8119e-05,-116.192,-144
disturbance_frequency_hz,31,16.6007,fourth_filtered_pd,0.0496307,0.00107673,16.6969,8.11992,2.17154e-06,6.86829e-05,-116.315,-144.477
disturbance_frequency_hz,32,0.12583,unshaped_standard_pd,0.553006,0.0191231,15.5833,7.47213,3.31418,0.061478,10.7988,-72.0199
disturbance_frequency_hz,32,0.12583,unshaped_filtered_pd,0.497945,0.0170244,15.9947,7.4781,3.3144,0.0629366,10.7963,-71.7853
disturbance_frequency_hz,32,0.12583,fourth_standard_pd,0.0519412,0.00142145,16.704,8.11929,3.69592,0.173228,10.6442,-63.8851
disturbance_frequency_hz,32,0.12583,fourth_filtered_pd,0.0495431,0.00108512,16.6885,8.11989,3.69629,0.174035,10.6428,-63.8336
disturbance_frequency_hz,33,1.01371,unshaped_standard_pd,0.553015,0.0191189,15.5828,7.4721,0.00254537,0.10055,-42.5906,-72.4321
disturbance_frequency_hz,33,1.01371,unshaped_filtered_pd,0.497959,0.0170219,15.9955,7.47808,0.00248287,0.0834721,-42.6345,-73.694
disturbance_frequency_hz,33,1.01371,fourth_standard_pd,0.0520034,0.00135393,16.7044,8.11931,0.00239217,0.00330726,-43.0507,-101.065
disturbance_frequency_hz,33,1.01371,fourth_filtered_pd,0.0496179,0.00107705,16.6901,8.11992,0.00239433,0.00310635,-43.0702,-101.178
disturbance_frequency_hz,34,0.135343,unshaped_standard_pd,0.552971,0.0191163,15.5872,7.47215,3.31413,0.0613712,10.7993,-72.0373
disturbance_frequency_hz,34,0.135343,unshaped_filtered_pd,0.497915,0.0170207,15.9967,7.47811,3.31436,0.0628525,10.7966,-71.7983
disturbance_frequency_hz,34,0.135343,fourth_standard_pd,0.0520351,0.00137588,16.7065,8.11933,3.69587,0.173288,10.6447,-63.8805
disturbance_frequency_hz,34,0.135343,fourth_filtered_pd,0.0496321,0.00109202,16.6903,8.11993,3.69626,0.174078,10.6432,-63.8304
disturbance_frequency_hz,35,0.197219,unshaped_standard_pd,0.553063,0.0191185,15.5866,7.4721,0.290825,0.167795,1.65661,-67.3839
disturbance_frequency_hz,35,0.197219,unshaped_filtered_pd,0.497989,0.017022,15.9951,7.47809,0.290825,0.174926,1.65608,-67.0193
disturbance_frequency_hz,35,0.197219,fourth_standard_pd,0.0520119,0.00138101,16.7083,8.11932,0.276542,0.271347,0.943217,-60.1024
disturbance_frequency_hz,35,0.197219,fourth_filtered_pd,0.0495733,0.00108123,16.6914,8.11992,0.276584,0.273477,0.94559,-60.0298
disturbance_frequency_hz,36,6.64706,unshaped_standard_pd,0.552974,0.0191192,15.5923,7.47212,3.69975e-05,0.00571871,-85.27,-100.419
disturbance_frequency_hz,36,6.64706,unshaped_filtered_pd,0.497918,0.0170222,16.0048,7.4781,3.28604e-05,0.00488321,-86.5536,-102.228
disturbance_frequency_hz,36,6.64706,fourth_standard_pd,0.052011,0.00135375,16.7055,8.11931,2.08945e-05,0.00039586,-91.902,-125.751
disturbance_frequency_hz,36,6.64706,fourth_filtered_pd,0.0496302,0.00107671,16.6848,8.11992,2.08671e-05,0.000355776,-91.9326,-124.115
disturbance_frequency_hz,37,8.41516,unshaped_standard_pd,0.552974,0.0191192,15.5759,7.47212,1.95927e-05,0.0034285,-87.7954,-102.255
disturbance_frequency_hz,37,8.41516,unshaped_filtered_pd,0.497918,0.0170222,15.987,7.4781,1.73247e-05,0.0029089,-96.3229,-113.345
disturbance_frequency_hz,37,8.41516,fourth_standard_pd,0.0520112,0.00135375,16.7102,8.11931,1.18263e-05,0.000264587,-97.7518,-125.608
disturbance_frequency_hz,37,8.41516,fourth_filtered_pd,0.0496304,0.00107671,16.6939,8.11992,1.18175e-05,0.000230515,-97.7592,-131.463
disturbance_frequency_hz,38,12.2532,unshaped_standard_pd,0.552974,0.0191192,15.5957,7.47212,7.18943e-06,0.00182867,-104.812,-122.252
disturbance_frequency_hz,38,12.2532,unshaped_filtered_pd,0.497918,0.0170222,15.9933,7.4781,5.60346e-06,0.00123507,-105.484,-114.307
disturbance_frequency_hz,38,12.2532,fourth_standard_pd,0.0520112,0.00135375,16.7115,8.11931,4.61155e-06,0.000156769,-107.705,-141.076
disturbance_frequency_hz,38,12.2532,fourth_filtered_pd,0.0496306,0.00107673,16.6951,8.11992,4.61506e-06,0.000104207,-107.683,-135.537
disturbance_frequency_hz,39,21.6691,unshaped_standard_pd,0.552974,0.0191192,15.5945,7.47213,1.21791e-06,0.000610526,-122.654,-128.451
disturbance_frequency_hz,39,21.6691,unshaped_filtered_pd,0.497918,0.0170222,16.0064,7.4781,1.09813e-06,0.000488172,-122.996,-137.657
disturbance_frequency_hz,39,21.6691,fourth_standard_pd,0.0520114,0.00135375,16.7105,8.11931,1.05004e-06,5.46362e-05,-123.297,-147.111
disturbance_frequency_hz,39,21.6691,fourth_filtered_pd,0.0496306,0.00107672,16.6956,8.11992,1.05525e-06,3.59945e-05,-123.228,-159.608
disturbance_frequency_hz,40,9.90155,unshaped_standard_pd,0.552975,0.0191192,15.5774,7.47213,1.17542e-05,0.00235194,-101.497,-113.694
disturbance_frequency_hz,40,9.90155,unshaped_filtered_pd,0.497918,0.0170222,15.9878,7.47811,1.06824e-05,0.00195761,-95.8884,-109.126
disturbance_frequency_hz,40,9.90155,fourth_standard_pd,0.0520112,0.00135375,16.7116,8.11931,7.85452e-06,0.000201867,-102.238,-136.085
disturbance_frequency_hz,40,9.90155,fourth_filtered_pd,0.0496305,0.00107671,16.6964,8.11992,7.85915e-06,0.000160292,-101.978,-129.437
disturbance_frequency_hz,41,14.5054,unshaped_standard_pd,0.552974,0.0191192,15.5887,7.47213,4.20174e-06,0.00124341,-111.311,-123.118
disturbance_frequency_hz,41,14.5054,unshaped_filtered_pd,0.497918,0.0170222,16.0059,7.4781,3.61656e-06,0.00114932,-111.174,-125.584
disturbance_frequency_hz,41,14.5054,fourth_standard_pd,0.0520113,0.00135375,16.7118,8.11931,2.99118e-06,0.000109339,-111.963,-149.438
disturbance_frequency_hz,41,14.5054,fourth_filtered_pd,0.0496306,0.00107671,16.6965,8.11992,2.99803e-06,9.18362e-05,-112.16,-145.063
disturbance_frequency_hz,42,0.135566,unshaped_standard_pd,0.552969,0.0191163,15.5873,7.47215,3.31413,0.0613712,10.7993,-72.0373
disturbance_frequency_hz,42,0.135566,unshaped_filtered_pd,0.497914,0.0170207,15.9967,7.47811,3.31436,0.0628523,10.7966,-71.7984
disturbance_frequency_hz,42,0.135566,fourth_standard_pd,0.0520384,0.00137438,16.7065,8.11933,3.69586,0.173289,10.6447,-63.8804
disturbance_frequency_hz,42,0.135566,fourth_filtered_pd,0.0496356,0.00109229,16.6903,8.11993,3.69626,0.174078,10.6432,-63.8304
disturbance_frequency_hz,43,0.42954,unshaped_standard_pd,0.558104,0.0192905,15.5825,7.47212,0.0354968,1.5615,-20.8769,-46.2026
disturbance_frequency_hz,43,0.42954,unshaped_filtered_pd,0.500905,0.0171267,15.9972,7.47808,0.0355247,1.55338,-21.015,-46.8901
disturbance_frequency_hz,43,0.42954,fourth_standard_pd,0.053196,0.00136224,16.7035,8.11931,0.0351584,0.130927,-20.8001,-67.8505
disturbance_frequency_hz,43,0.42954,fourth_filtered_pd,0.0503174,0.00107995,16.6884,8.11992,0.0351652,0.131403,-20.804,-68.1109
disturbance_frequency_hz,44,4.76962,unshaped_standard_pd,0.552973,0.0191192,15.5827,7.47214,6.54962e-05,0.00867148,-82.7343,-98.0443
disturbance_frequency_hz,44,4.76962,unshaped_filtered_pd,0.497917,0.0170222,15.9867,7.47812,7.69739e-05,0.00910089,-81.88,-99.2162
disturbance_frequency_hz,44,4.76962,fourth_standard_pd,0.0520116,0.00135373,16.7033,8.11931,4.97971e-05,0.000463153,-83.1673,-125.262
disturbance_frequency_hz,44,4.76962,fourth_filtered_pd,0.0496301,0.00107668,16.6924,8.11992,4.97086e-05,0.000615809,-83.2183,-121.348
disturbance_frequency_hz,45,20.704,unshaped_standard_pd,0.552974,0.0191192,15.5927,7.47213,1.43042e-06,0.000627855,-122.733,-129.038
disturbance_frequency_hz,45,20.704,unshaped_filtered_pd,0.497918,0.0170222,15.9898,7.4781,1.28695e-06,0.000593037,-123.58,-132.389
