frequency_hz,controller,S_mag_db,T_mag_db
0.036691,filtered_pd,-28.4059,0.2747
0.037031,standard_pd,-27.4559,0.3322
0.037031,filtered_pd,-28.2645,0.2784
0.037374,standard_pd,-27.3023,0.3376
0.037374,filtered_pd,-28.1234,0.2821
0.037720,standard_pd,-27.1487,0.3430
0.037720,filtered_pd,-27.9825,0.2858
0.038070,standard_pd,-26.9953,0.3484
0.038070,filtered_pd,-27.8419,0.2896
0.038422,standard_pd,-26.8419,0.3540
0.038422,filtered_pd,-27.7016,0.2934
0.038778,standard_pd,-26.6887,0.3596
0.038778,filtered_pd,-27.5616,0.2972
0.039137,standard_pd,-26.5356,0.3652
0.039137,filtered_pd,-27.4219,0.3010
0.039500,standard_pd,-26.3827,0.3710
0.039500,filtered_pd,-27.2824,0.3049
0.039866,standard_pd,-26.2299,0.3768
0.039866,filtered_pd,-27.1432,0.3088
0.040235,standard_pd,-26.0772,0.3827
0.040235,filtered_pd,-27.0044,0.3128
0.040608,standard_pd,-25.9246,0.3887
0.040608,filtered_pd,-26.8658,0.3167
0.040984,standard_pd,-25.7722,0.3947
0.040984,filtered_pd,-26.7275,0.3207
0.041363,standard_pd,-25.6199,0.4008
0.041363,filtered_pd,-26.5895,0.3247
0.041747,standard_pd,-25.4678,0.4070
0.041747,filtered_pd,-26.4518,0.3287
0.042133,standard_pd,-25.3157,0.4133
0.042133,filtered_pd,-26.3144,0.3328
0.042523,standard_pd,-25.1639,0.4196
0.042523,filtered_pd,-26.1773,0.3368
0.042917,standard_pd,-25.0122,0.4260
0.042917,filtered_pd,-26.0406,0.3409
0.043315,standard_pd,-24.8606,0.4325
0.043315,filtered_pd,-25.9041,0.3450
0.043716,standard_pd,-24.7092,0.4391
0.043716,filtered_pd,-25.7680,0.3492
0.044121,standard_pd,-24.5579,0.4457
0.044121,filtered_pd,-25.6321,0.3533
0.044530,standard_pd,-24.4068,0.4524
0.044530,filtered_pd,-25.4966,0.3575
0.044942,standard_pd,-24.2558,0.4592
0.044942,filtered_pd,-25.3614,0.3617
0.045358,standard_pd,-24.1050,0.4661
0.045358,filtered_pd,-25.2265,0.3659
0.045778,standard_pd,-23.9544,0.4730
0.045778,filtered_pd,-25.0920,0.3701
0.046202,standard_pd,-23.8040,0.4800
0.046202,filtered_pd,-24.9578,0.3743
0.046630,standard_pd,-23.6537,0.4871
0.046630,filtered_pd,-24.8239,0.3786
0.047062,standard_pd,-23.5036,0.4943
0.047062,filtered_pd,-24.6903,0.3829
0.047498,standard_pd,-23.3536,0.5015
0.047498,filtered_pd,-24.5571,0.3871
0.047938,standard_pd,-23.2038,0.5088
0.047938,filtered_pd,-24.4242,0.3914
0.048382,standard_pd,-23.0543,0.5162
0.048382,filtered_pd,-24.2916,0.3957
0.048830,standard_pd,-22.9049,0.5236
0.048830,filtered_pd,-24.1594,0.4000
0.049282,standard_pd,-22.7556,0.5311
0.049282,filtered_pd,-24.0276,0.4044
0.049739,standard_pd,-22.6066,0.5387
0.049739,filtered_pd,-23.8960,0.4087
0.050200,standard_pd,-22.4578,0.5464
0.050200,filtered_pd,-23.7649,0.4130
0.050665,standard_pd,-22.3091,0.5541
0.050665,filtered_pd,-23.6340,0.4174
0.051134,standard_pd,-22.1607,0.5619
0.051134,filtered_pd,-23.5036,0.4217
0.051607,standard_pd,-22.0125,0.5698
0.051607,filtered_pd,-23.3734,0.4261
0.052085,standard_pd,-21.8644,0.5778
0.052085,filtered_pd,-23.2437,0.4304
0.052568,standard_pd,-21.7166,0.5858
0.052568,filtered_pd,-23.1143,0.4348
0.053055,standard_pd,-21.5690,0.5939
0.053055,filtered_pd,-22.9852,0.4392
0.053546,standard_pd,-21.4216,0.6020
0.053546,filtered_pd,-22.8565,0.4435
0.054042,standard_pd,-21.2744,0.6102
0.054042,filtered_pd,-22.7282,0.4479
0.054543,standard_pd,-21.1274,0.6185
0.054543,filtered_pd,-22.6002,0.4523
0.055048,standard_pd,-20.9807,0.6268
0.055048,filtered_pd,-22.4726,0.4566
0.055558,standard_pd,-20.8342,0.6352
0.055558,filtered_pd,-22.3454,0.4610
0.056072,standard_pd,-20.6879,0.6437
0.056072,filtered_pd,-22.2185,0.4653
0.056592,standard_pd,-20.5419,0.6522
0.056592,filtered_pd,-22.0920,0.4697
0.057116,standard_pd,-20.3961,0.6608
0.057116,filtered_pd,-21.9659,0.4740
0.057645,standard_pd,-20.2505,0.6694
0.057645,filtered_pd,-21.8401,0.4783
0.058179,standard_pd,-20.1052,0.6781
