factor,sample_index,factor_value,combo,rms_vibration_mm,rms_pointing_error_deg,peak_torque_nm,rms_torque_nm
modal_frequency_scale,29,0.763538,fourth_standard_pd,0.258469,0.00830405,17.1194,8.1289
modal_frequency_scale,29,0.763538,fourth_filtered_pd,0.32655,0.0106004,17.2613,8.13106
modal_frequency_scale,30,0.784204,unshaped_standard_pd,0.831929,0.025961,15.4153,7.48112
modal_frequency_scale,30,0.784204,unshaped_filtered_pd,0.964551,0.029867,16.1209,7.49017
modal_frequency_scale,30,0.784204,fourth_standard_pd,0.175836,0.00545804,17.0514,8.12807
modal_frequency_scale,30,0.784204,fourth_filtered_pd,0.225129,0.00688344,17.1781,8.13015
modal_frequency_scale,31,0.951469,unshaped_standard_pd,0.525567,0.0172255,15.4616,7.47637
modal_frequency_scale,31,0.951469,unshaped_filtered_pd,0.581157,0.0185778,16.1106,7.4835
modal_frequency_scale,31,0.951469,fourth_standard_pd,0.0541264,0.00147055,16.7572,8.1209
modal_frequency_scale,31,0.951469,fourth_filtered_pd,0.0588897,0.00140546,16.7644,8.12169
modal_frequency_scale,32,1.27974,unshaped_standard_pd,0.273502,0.00921254,15.5249,7.47173
modal_frequency_scale,32,1.27974,unshaped_filtered_pd,0.284514,0.00939098,16.1587,7.47683
modal_frequency_scale,32,1.27974,fourth_standard_pd,0.0455659,0.00153268,16.7025,8.11303
modal_frequency_scale,32,1.27974,fourth_filtered_pd,0.042983,0.00141166,16.7097,8.11335
modal_frequency_scale,33,1.05763,unshaped_standard_pd,0.520829,0.0173383,15.5616,7.47295
modal_frequency_scale,33,1.05763,unshaped_filtered_pd,0.541679,0.0182182,16.1704,7.47765
modal_frequency_scale,33,1.05763,fourth_standard_pd,0.0566839,0.00163207,16.6726,8.11764
modal_frequency_scale,33,1.05763,fourth_filtered_pd,0.0518532,0.00132462,16.6426,8.11811
modal_frequency_scale,34,1.25981,unshaped_standard_pd,0.289043,0.00960962,15.5146,7.4722
modal_frequency_scale,34,1.25981,unshaped_filtered_pd,0.311435,0.0102732,16.1895,7.47708
modal_frequency_scale,34,1.25981,fourth_standard_pd,0.0454147,0.0015186,16.7002,8.11337
modal_frequency_scale,34,1.25981,fourth_filtered_pd,0.0438691,0.00143378,16.706,8.11368
modal_frequency_scale,35,1.18262,unshaped_standard_pd,0.388187,0.0132287,15.5966,7.4708
modal_frequency_scale,35,1.18262,unshaped_filtered_pd,0.364138,0.0124103,16.0983,7.47548
modal_frequency_scale,35,1.18262,fourth_standard_pd,0.0530282,0.00175925,16.6837,8.11478
modal_frequency_scale,35,1.18262,fourth_filtered_pd,0.0524334,0.00168637,16.6827,8.1151
modal_frequency_scale,36,0.980429,unshaped_standard_pd,0.514229,0.0177104,15.5307,7.47381
modal_frequency_scale,36,0.980429,unshaped_filtered_pd,0.492597,0.0163814,16.0085,7.48048
modal_frequency_scale,36,0.980429,fourth_standard_pd,0.051543,0.00134266,16.7207,8.11993
modal_frequency_scale,36,0.980429,fourth_filtered_pd,0.051097,0.0011072,16.7134,8.1206
modal_frequency_scale,37,1.17086,unshaped_standard_pd,0.386867,0.0132481,15.5914,7.47089
modal_frequency_scale,37,1.17086,unshaped_filtered_pd,0.357536,0.0121784,16.0765,7.47591
modal_frequency_scale,37,1.17086,fourth_standard_pd,0.0546149,0.00180438,16.6801,8.11501
modal_frequency_scale,37,1.17086,fourth_filtered_pd,0.0531657,0.00169435,16.6777,8.11534
modal_frequency_scale,38,0.710702,unshaped_standard_pd,1.71006,0.0582223,15.6957,7.47218
modal_frequency_scale,38,0.710702,unshaped_filtered_pd,1.61313,0.0552473,16.006,7.47796
modal_frequency_scale,38,0.710702,fourth_standard_pd,0.552565,0.0196323,17.2819,8.13041
modal_frequency_scale,38,0.710702,fourth_filtered_pd,0.563001,0.0200139,17.4005,8.13238
modal_frequency_scale,39,0.765486,unshaped_standard_pd,1.04651,0.0327554,15.4513,7.48115
modal_frequency_scale,39,0.765486,unshaped_filtered_pd,1.21663,0.0388774,16.2136,7.48985
modal_frequency_scale,39,0.765486,fourth_standard_pd,0.248968,0.00796377,17.1127,8.12883
modal_frequency_scale,39,0.765486,fourth_filtered_pd,0.315871,0.0101999,17.2537,8.13098
modal_frequency_scale,40,1.19766,unshaped_standard_pd,0.379978,0.0128466,15.5883,7.47103
modal_frequency_scale,40,1.19766,unshaped_filtered_pd,0.369447,0.0125457,16.1345,7.47538
modal_frequency_scale,40,1.19766,fourth_standard_pd,0.0507513,0.00168776,16.688,8.11449
modal_frequency_scale,40,1.19766,fourth_filtered_pd,0.0509799,0.00165227,16.6885,8.11481
modal_frequency_scale,41,1.17809,unshaped_standard_pd,0.388446,0.0132647,15.5953,7.4708
modal_frequency_scale,41,1.17809,unshaped_filtered_pd,0.361639,0.0123281,16.0876,7.47561
modal_frequency_scale,41,1.17809,fourth_standard_pd,0.0536719,0.00177828,16.6823,8.11487
modal_frequency_scale,41,1.17809,fourth_filtered_pd,0.0527576,0.00169139,16.6808,8.11519
modal_frequency_scale,42,0.839584,unshaped_standard_pd,0.856417,0.0298661,15.5986,7.47327
modal_frequency_scale,42,0.839584,unshaped_filtered_pd,0.744283,0.0257606,15.9108,7.47992
modal_frequency_scale,42,0.839584,fourth_standard_pd,0.113134,0.00377769,16.9349,8.12541
modal_frequency_scale,42,0.839584,fourth_filtered_pd,0.115219,0.0034559,17.0084,8.12695
modal_frequency_scale,43,1.01846,unshaped_standard_pd,0.578203,0.0198175,15.6134,7.47143
modal_frequency_scale,43,1.01846,unshaped_filtered_pd,0.528479,0.018142,16.0365,7.47667
modal_frequency_scale,43,1.01846,fourth_standard_pd,0.0532375,0.00141237,16.6885,8.11874
modal_frequency_scale,43,1.01846,fourth_filtered_pd,0.049594,0.00111506,16.6679,8.1193
modal_frequency_scale,44,1.06361,unshaped_standard_pd,0.502351,0.0166403,15.5466,7.47329
modal_frequency_scale,44,1.06361,unshaped_filtered_pd,0.531965,0.0178122,16.1833,7.4781
modal_frequency_scale,44,1.06361,fourth_standard_pd,0.0570209,0.00166294,16.6707,8.11748
modal_frequency_scale,44,1.06361,fourth_filtered_pd,0.052314,0.00136442,16.6401,8.11794
modal_frequency_scale,45,1.22064,unshaped_standard_pd,0.349474,0.0116592,15.5556,7.47174
modal_frequency_scale,45,1.22064,unshaped_filtered_pd,0.361788,0.0121574,16.1851,7.476
modal_frequency_scale,45,1.22064,fourth_standard_pd,0.047665,0.00158627,16.6935,8.11407
modal_frequency_scale,45,1.22064,fourth_filtered_pd,0.0480245,0.00156408,16.6961,8.11438
modal_frequency_scale,46,1.06186,unshaped_standard_pd,0.507854,0.0168464,15.5514,7.4732
modal_frequency_scale,46,1.06186,unshaped_filtered_pd,0.535089,0.0179404,16.1793,7.47797
modal_frequency_scale,46,1.06186,fourth_standard_pd,0.0569323,0.00165429,16.6712,8.11753
